Title,Description,News site,Keyword
Elképesztő állítások orosz hadifoglyok kínzásáról,"Az Azov-fegyveresek fő feladata az „orosz kutyák"" megkínzása és megölése volt – állítja egy francia önkéntes.",Origo,global news
"Belemérték az arcomba, ennek a fideszesnek semmit","Kiki (Patkó Béla), az Első Emelet énekese beszél az Origónak.",Origo,global news
Putyin váratlan döntést hozott az orosz hadseregről,Elindul a haditengerészethez.,Origo,global news
"Kiragadott az árvíz négy gyereket az édesanyjuk karjából, mind meghaltak","A legidősebb 8, a legfiatalabb 1,5 éves volt.",Origo,global news
Már két halálos áldozata van a majomhimlőnek Spanyolországban,Európában ez az első két ismert majomhimlős haláleset.,Origo,global news
"Ferenc pápa elismerte: nem kizárt, hogy le fog mondani",A katolikus egyházfő kanadai látogatásáról hazatérőben nyilatkozott szombaton újságíróknak.,Origo,global news
A baloldali spanyol miniszterelnök a nyakkendő mellőzésével spórolna az energián,"Így nem kell majd annyit klímázni Pedro Sánchez szerint, vagyis kevesebb áram fogyhat.",Origo,global news
Lettország nem kap több gázt Oroszországtól,"A Gazprom leállította a földgázexportot, mert a lettek nem hajlandók rubelben fizetni.",Origo,global news
"Meghalt egy ötéves kisfiú, mert jéghideg vizet ivott","A 40 fokos hőségben biciklizett Egyiptomban, és hirtelen megszomjazott.",Origo,global news
"Szexelt egy pár a lengyel Hadtörténeti Múzeumban, a kamera buktatta le őket","Nem ők voltak az elsők, akik nem bírtak magukkal.",Origo,global news
Bild: Németország retteg a hideg téltől!,A legolvasottabb német napilapnak nyilatkozó ingatlanvezér szerint le kell mondani az otthon melegéről.,Origo,global news
"Három kisgyerek holttestére bukkantak egy családi házban, a rendőrök elsírták magukat",A gyerekek édesanyjának holttestére a kertben lévő fészerben találtak rá.,Origo,global news
Egyre keményebbek a harcok Kelet- és Dél-Ukrajnában,Élő közvetítésünk az orosz-ukrán háborúról.,Origo,global news
Halálos áldozata van a majomhimlőnek Spanyolországban,A vírus az ország minden tartományában megjelent.,Origo,global news
Nagy-Britannia átmenetileg elősegíti a széntüzelésű erőművek működését,Az országban korábban több széntüzelésű erőmű üzemeltetője is a végleges leállásra készült.,Origo,global news
Putyin üzent: ezek az országok a szövetségesei,Szergej Lavrov nyilvánosságra hozta az SCO-hoz csatlakozni kívánók listáját.,Origo,global news
Lovasturisztikai hálózat épült ki Magyarországon,A Gazdaságfejlesztési és innovációs operatív program keretéből lóháton bejárható útvonalhálózat jött létre.,Origo,global news
Meghalt Géczy Barnabás,Maradandó életművet alkotott a jura időszaki ammoniteszek kutatása terén.,Origo,global news
A törökországi erdőtűz miatt már egy szálloda is lángokban áll,A szállodában és a környező épületekben mindenkit evakuáltak.,Origo,global news
Egy kislány meghalt Németországban miután anyja ledobta az első emeletről,"Ezt követően a nő maga is leugrott, azóta kómában van.",Origo,global news
"Termálvíznyelőbe zuhant egy turista Új-Zélandon, súlyosan megsérült - videó",A 2 méter széles lyuk hirtelen nyílt meg egy gyalogúton.,Origo,global news
Árvíz miatt vízben állnak a híres kaszinók Las Vegasban - videó,Erős viharok vonultak át Las Vegas térségén.,Origo,global news
Halálra késeltek egy kilencéves kislányt az angliai Bostonban - videó,Egy sikátorban találtak rá a testre.,Origo,global news
Nagy Márton: A tét az euróövezet megmentése,A gazdaságfejlesztési miniszter az olasz válságról írt cikket.,Origo,global news
Már legalább tizenöten meghaltak a Kentuckyban pusztító árvíz miatt,"A hatóságok további áldozatokra számítanak, mivel az ár még nem tetőzött.",Origo,global news
Itt a legújabb őrült ukrán terv,A belügyminiszter tanácsadója szerint a szovjet időkben írt történelem erkölcsileg elavult.,Origo,global news
"Kiderült, hogy mikortól lehet újra látogatni a Notre-Dame-ot",A párizsi székesegyház 2019 áprilisában gyulladt ki.,Origo,global news
"Szörnyű baleset, a népszerű fiúbanda koncertjén egy táncosra zuhant egy óriáskijelző - videó","A nézők közül többen sokkot kaptak, a koncertet azonnal leállították.",Origo,global news
"Hannoverben elzárták a meleg vizet, mert nincs elég gáz",A német városban betiltották a klímaberendezéseket.,Origo,global news
"Lezuhant egy katonai repülőgép Indiában, a pilóták meghaltak",Gyakorlatozás közben történt a baleset.,Origo,global news
"Addig kínozták a saját kisfiukat, amíg a gyerek bele nem halt",A szülők mellett egy ismerősük is részt vett a kegyetlenkedésekben.,Origo,global news
"Hatalmas tűz volt egy moszkvai szállóban, nyolcan meghaltak",200 embert menekítettek ki az épületből.,Origo,global news
"Folyamatos támadás alatt Donyeck, egymást hibáztatják érte az oroszok és az ukránok",Élő közvetítésünk az orosz-ukrán háborúról.,Origo,global news
"Napokon át verte és erőszakolta meg egy férfi, végül titokban üzent a szomszédoknak",Így mentették meg a rendőrök hat nap után.,Origo,global news
Hszi figyelmeztette Bident Tajvannal kapcsolatban,A két ország több fronton is eltérő értékeket képvisel.,Origo,global news
Itt a válasz Észak-Koreának,Mutatjuk mit válaszoltak Kim Dzsongun kijelentéseire.,Origo,global news
"Athén felett felrobbant egy felszálló óriásgép hajtóműve, 50 méter magasan repültek szembe a hegynek","A Boeing nem hitte el a légitársaságnak, hogy mi történt.",Origo,global news
A legrosszabbkor jött: itt van Kim Dzsongun bejelentése,"Beszédében arra figyelmeztetett, hogy kész bevetni nukleáris fegyvereit az USA és Dél-Korea ellen.",Origo,global news
Újabb embercsempészeket fogtak el Szerbiában,"A migránsok egyre szervezettebbek, eltökéltebbek és agresszívebbek.",Origo,global news
Meghalt egy kislány sátorozás közben az Egyesült Államokban,"A család többi tagja, a lány apja és két testvére nem sérült meg.",Origo,global news
"Katonai előőrsökre támadtak iszlamista szélsőséges Maliban, rengeteg a halott",Összesen tizenöt katona és három civil halt meg.,Origo,global news
"Rejtélyes halálesetek, holtan találtak egy nőt és három gyereket az Egyesült Államokban",A rendőrséget egy síró férfi hívta fel.,Origo,global news
"Néhány órával az esküvő után kivégezte feleségét, a holttestet pedig egy bőröndbe rejtette","Ezután közölte a rendőrökkel, hogy a nő a nászút után tűnt el.",Origo,global news
Karl Nehammer: Magyarország fontos geostratégiai partner,"Az osztrák kancellár bejelentette, hogy Orbán Viktor javaslatára Ausztria, Magyarország és Szerbia közös konferenciát rendez az irreguláris migrációról.",Origo,global news
Pokolgépes fenyegetések miatt iskolákat zártak be Új-Zélandon,Két fiatalt kihallgattak egy kollégiumot ért fenyegetés ügyében.,Origo,global news
"Megvan a megegyezés az olasz jobboldali pártok között arról, hogy ki adja a következő miniszterelnököt",A három jobboldali párt közösen készül kormányt alakítani.,Origo,global news
"Lelőtte három testvérét, majd magával is végzett egy 15 éves fiú Alaszkában",A gyerekek szülei nem voltak otthon.,Origo,global news
Már négy halálos áldozata van az iráni földcsuszamlásnak,"További áldozatokkal is számolnak, akiket betemethetett a sár.",Origo,global news
"Autó csapódott egy chicagói házba, ketten súlyosan megsérültek","A sofőr nem tudta irányítani az autót, a garázson átrepülve a házban kötött ki.",Origo,global news
Gyújtogatás miatt égett fel több mint ezer hektár erdő Franciaországban,A rendőrök egy embert letartóztattak.,Origo,global news
Hajtóvadászat indult Kínában egy korábban hősként ünnepelt rendőr ellen,Több ezer dolláros vérdíjat tűztek ki a fejére.,Origo,global news
Gulyás Gergely: Magántulajdonú gépjárművek kapnak ezentúl 480 forintos áron üzemanyagot,A mezőgazdasági gépek és a taxik is megkapják a csökkentett áron az üzemanyagot.,Origo,Domestic news
A szólásszabadságról vitáztak az MCC Feszten,"Háború idején nagy a nyomás, hogy a hírekben „jófiúk"" és „rosszfiúk"" szerepeljenek - hangzott el a vitán.",Origo,Domestic news
Szijjártó Péter: Csak a béke jelent megoldást,"A magyar kormánynak a magyar emberek felé van a legnagyobb felelőssége, ezért mindenképpen meg kell akadályoznia az ország belesodródását a háborúba – jelentette ki a külügyminiszter.",Origo,Domestic news
Itt a rendelet a hatósági tankolási ár változásairól,Megjelent a közlöny a hatósági áras tankolás változásairól.,Origo,Domestic news
Csak a lakossági fogyasztóknak marad a 480 forintos kedvezményes benzinár,"A magántulajdonú gépjárművekre, a taxikra és a mezőgazdasági gépekre továbbra is érvényes az árplafon.",Origo,Domestic news
Itt vannak a legújabb kormányzati lépések - Élőben a Kormányinfóról,Központi téma lesz az ukrajnai háború.,Origo,Domestic news
Megvan a 2022/23-as tanév rendje és az iskolai szünetek időpontjai is,A Magyar Közlönyben megjelent a soron következő tanév menetrendje.,Origo,Domestic news
Órákat kell várni a röszkei határátkelőhelyeken,A vendégmunkások és a nyaralók miatt hosszú a várakozás.,Origo,Domestic news
"Gyurcsány naponta jelenti be, hogy készül - de mire?","A bukott miniszterelnök mindenáron zűrzavart akarna, de nem sikerül neki.",Origo,Domestic news
"Mutatjuk, hol adtak ki riasztást mára felhőszakadás veszélye miatt",Több helyen rövid idő alatt jelentős mennyiségű csapadék hullhat le.,Origo,Domestic news
"Mindenhol megszűnik a hőség - mutatjuk, mikor!",Szombaton 35 fokig melegszik a levegő.,Origo,Domestic news
Hatalmas tűz a Velencei-tónál,A nád gyulladt ki Gárdony hajókikötője mellett.,Origo,Domestic news
Frontálisan karambolozott két autó a budai alsó rakparton,Két embert a tűzoltók szabadítottak ki az egyik autóból.,Origo,Domestic news
Az antiszemita Bíró László le akarja mondatni az antiszemita Jobbik-elnököt - videó,Csalódott Gyöngyösi Mártonban.,Origo,Domestic news
Újra lövöldözés volt a migránsok között Szabadka mellett,Egy embert kórházba szállítottak.,Origo,Domestic news
Hivatali visszaélés miatt nyomoznak Tordai Bence luxusvillája miatt,A BRFK mindezt megerősítette.,Origo,Domestic news
Végigsprintelt egy beszökött nyúl egy kört a Hungaroringen - videó,"Nem tudni, hogy az állat hogy került oda.",Origo,Domestic news
Több mint 200 szolgáltatási centrumot hoz létre a Magyar Posta Zrt. és a Szerencsejáték Zrt.,Mindezt a Magyar Falu Program keretében.,Origo,Domestic news
"Schilling Árpád előveszi a péniszét és egy lány szájába akarja tenni, mert Marton Lászlót játssza","Sárosdi Lilla széthúzza az alfelét, a filmet rendező Hajdú Szabolcs felesége Gulyás Mártont alakítja. Gusztustalanság és Netflix. Még a cím is lopott.",Origo,Domestic news
Erdőtűz miatt késnek a vonatok a ceglédi vonalon,Üllő és Monor között kigyulladt az aljnövényzet.,Origo,Domestic news
Rendkívüli bejelentést tett a Mol elnök-vezérigazgatója - videó,Hernádi Zsolt Budapesten tartott doorstep sajtótájékoztatót.,Origo,Domestic news
Orbán Viktor: Harcolni fogunk a magyar családokért! - videó,A csökkentet lakásáfát további két évig meghosszabbítja a kormány.,Origo,Domestic news
Eltűnt egy nő Kisgyőrben,Közel két hete nem találják.,Origo,Domestic news
Halálos autóbaleset történt a 4-es számú főúton,A baleset helyszínén teljes útlezárás van érvényben.,Origo,Domestic news
Orbán Viktor: Európának új stratégiára van szüksége!,"Ha Brüsszel nem változtat, októbertől egész Európában háborús gazdaságra kell számítani.",Origo,Domestic news
Több milliót loptak el egy férfitől Kecskeméten,"A két tolvaj megfigyelte az áldozatát, majd lecsapott.",Origo,Domestic news
Felgyújtotta a saját udvarát egy budapesti nő - videó,"Amiatt lett mérges, mert egy férfi a háza mellé hordta a szemetet.",Origo,Domestic news
Németh Szilárd: A nagycsaládosoknak igényelniük kell a további kedvezményt,"Az átlagfogyasztás mértékéig minden magyar háztartásban, magyar családnál fennmarad a rezsicsökkentés.",Origo,Domestic news
"Négyen öltek meg egy idős, miskolci asszonyt",Az egyikük meg is erőszakolta a 85 éves áldozatot.,Origo,Domestic news
Az európai és nem európai kultúrák együttélésének nehézségei Nyugat-Európában,A Századvég Politikai Elemzések Központjának összeállítása.,Origo,Domestic news
"Hegedűs Zsuzsa visszavonta a lemondását, ebből is kiderült: a tusványosi vita műbalhé volt",A miniszterelnöki főtanácsadó megint levelet írt Orbán Viktornak.,Origo,Domestic news
Szijjártó Péter: Magyarország és Georgia a békeerőfeszítések fokozására kérte a nemzetközi közösséget,"A háború miatt nem pusztán az EU , hanem az egész kontinens rendkívüli kihívásokkal és súlyos biztonsági kockázatokkal néz szembe.",Origo,Domestic news
Kirúgták a Nők Lapja főszerkesztőjét,Még baloldalibb lesz a lap.,Origo,Domestic news
"Tragédia Keszthelynél, egy 16 éves gyerek meghalt, miután vonattal ütközött egy autó",Egy vasúti átjáróban történt a baleset.,Origo,Domestic news
"Kalapáccsal ütötte, rúgdosott saját teherautóját - videó","Saját magának okozott kárt az esztergomi férfi bosszúból, mert a teherautó nem indult.",Origo,Domestic news
Kórházi ápolóra és mentősökre támadtak Tatabányán,Egy nap alatt két férfi ellen is intézkedni kellett közfeladatot ellátó személy elleni erőszak miatt.,Origo,Domestic news
"Napi balfék: Klárikám, jövök már!","Ha ártani kell, ő jön.",Origo,Domestic news
A Jobbikot már csak a pénzszerzés tartja össze,"Az egykori „harcostársak"" pedig egymás ellen fordultak - mondta az Origónak Erdős Gergely, a Századvég elemzője.",Origo,Domestic news
Orbán Viktor: A hagyományos nyugati értékeket Közép-Európa képviseli,A miniszterelnök az MCC Feszt külföldi vendégelőadóit és oktatóit fogadta.,Origo,Domestic news
Ezért hosszabbítja meg a kormány a kedvezményes lakásáfát,"A miniszterelnök reggel jelentette be a döntést, amelynek több fontos, kedvező hatása van.",Origo,Domestic news
Eltűnt az előleggel az álszerelő,Klíma- és mosógépszerelőként hirdette magát az interneten egy 26 éves férfi.,Origo,Domestic news
Szombattól újraindul a vonatforgalom Nagymaros és Szob között,A tehervonat-forgalom már megindult.,Origo,Domestic news
Megölte a feleségét egy férfi Újfehértón - videó,Több késszúrással végzett vele.,Origo,Domestic news
Pénzmosó bűnszervezetet számoltak fel a rendőrök,Kétmilliárd forintot zároltak 18 embertől.,Origo,Domestic news
Itt a rendőrség videója a budapesti villamosmegállóban késelő férfi elfogásáról,A 25 éves támadó egy késsel mellkason szúrt egy 22 éves férfit.,Origo,Domestic news
Világháborús bombákat találtak Jánossomorja mellett,Több páncéltörő gránát is előkerült a kukoricásban.,Origo,Domestic news
Megütöttek egy benzinkutast Balassagyarmaton,A támadó egy kocsma előtt is garázdálkodott.,Origo,Domestic news
"Elképesztő hőség lesz ma, kiderült, meddig tart",Az ország nagy részét érinti.,Origo,Domestic news
"Szijjártó Péter: A háborúnak minél előbb véget kell vetni, csak a béke jelent megoldást","A külügyminiszter Abdulaziz Kamilovval, Üzbegisztán elnökének külügyi megbízottjával egyeztetett.",Origo,Domestic news
Orbán Viktor: A jövőben is minden magyar család kap rezsicsökkentett árú gázt és áramot,"Ha Brüsszel nem változtat, októberre Európában háborús gazdaság lesz - mondta a miniszterelnök a rádióinterjújában. A kormány harcol a rezsicsökkentés és az életszínvonal megvédéséért.",Origo,Domestic news
Itt vannak a legújabb kormányzati döntések - Orbán Viktor rádióinterjúja élőben,"Brüsszel a háborús gazdaság irányába halad, ez is szóba kerül majd.",Origo,Domestic news
